title, link, level, finished_count, acceptance_rate
평균 구하기,https://school.programmers.co.kr/learn/courses/30/lessons/12944,Lv.1,58,596명,87%
콜라츠 추측,https://school.programmers.co.kr/learn/courses/30/lessons/12943,Lv.1,41,219명,85%
최적의 행렬 곱셈,https://school.programmers.co.kr/learn/courses/30/lessons/12942,Lv.3,805명,21%
최솟값 만들기,https://school.programmers.co.kr/learn/courses/30/lessons/12941,Lv.2,24,441명,76%
최대공약수와 최소공배수,https://school.programmers.co.kr/learn/courses/30/lessons/12940,Lv.1,32,349명,76%
최댓값과 최솟값,https://school.programmers.co.kr/learn/courses/30/lessons/12939,Lv.2,30,594명,79%
최고의 집합,https://school.programmers.co.kr/learn/courses/30/lessons/12938,Lv.3,7,190명,60%
짝수와 홀수,https://school.programmers.co.kr/learn/courses/30/lessons/12937,Lv.1,60,125명,87%
줄 서는 방법,https://school.programmers.co.kr/learn/courses/30/lessons/12936,Lv.2,5,068명,45%
제일 작은 수 제거하기,https://school.programmers.co.kr/learn/courses/30/lessons/12935,Lv.1,38,311명,83%
정수 제곱근 판별,https://school.programmers.co.kr/learn/courses/30/lessons/12934,Lv.1,41,730명,86%
정수 내림차순으로 배치하기,https://school.programmers.co.kr/learn/courses/30/lessons/12933,Lv.1,38,025명,86%
자연수 뒤집어 배열로 만들기,https://school.programmers.co.kr/learn/courses/30/lessons/12932,Lv.1,43,227명,86%
자릿수 더하기,https://school.programmers.co.kr/learn/courses/30/lessons/12931,Lv.1,48,400명,87%
이상한 문자 만들기,https://school.programmers.co.kr/learn/courses/30/lessons/12930,Lv.1,34,157명,74%
올바른 괄호의 갯수,https://school.programmers.co.kr/learn/courses/30/lessons/12929,Lv.4,1,840명,28%
약수의 합,https://school.programmers.co.kr/learn/courses/30/lessons/12928,Lv.1,52,704명,87%
야근 지수,https://school.programmers.co.kr/learn/courses/30/lessons/12927,Lv.3,7,649명,58%
시저 암호,https://school.programmers.co.kr/learn/courses/30/lessons/12926,Lv.1,31,530명,71%
문자열을 정수로 바꾸기,https://school.programmers.co.kr/learn/courses/30/lessons/12925,Lv.1,49,829명,86%
숫자의 표현,https://school.programmers.co.kr/learn/courses/30/lessons/12924,Lv.2,19,791명,74%
숫자 블록,https://school.programmers.co.kr/learn/courses/30/lessons/12923,Lv.2,2,165명,34%
수박수박수박수박수박수?,https://school.programmers.co.kr/learn/courses/30/lessons/12922,Lv.1,50,983명,83%
소수 찾기,https://school.programmers.co.kr/learn/courses/30/lessons/12921,Lv.1,27,783명,61%
선입 선출 스케줄링,https://school.programmers.co.kr/learn/courses/30/lessons/12920,Lv.3,1,128명,24%
서울에서 김서방 찾기,https://school.programmers.co.kr/learn/courses/30/lessons/12919,Lv.1,49,034명,84%
문자열 다루기 기본,https://school.programmers.co.kr/learn/courses/30/lessons/12918,Lv.1,44,552명,79%
문자열 내림차순으로 배치하기,https://school.programmers.co.kr/learn/courses/30/lessons/12917,Lv.1,39,681명,81%
문자열 내 p와 y의 개수,https://school.programmers.co.kr/learn/courses/30/lessons/12916,Lv.1,46,525명,86%
문자열 내 마음대로 정렬하기,https://school.programmers.co.kr/learn/courses/30/lessons/12915,Lv.1,31,181명,68%
멀리 뛰기,https://school.programmers.co.kr/learn/courses/30/lessons/12914,Lv.2,13,469명,66%
땅따먹기,https://school.programmers.co.kr/learn/courses/30/lessons/12913,Lv.2,11,114명,56%
두 정수 사이의 합,https://school.programmers.co.kr/learn/courses/30/lessons/12912,Lv.1,53,514명,85%
다음 큰 숫자,https://school.programmers.co.kr/learn/courses/30/lessons/12911,Lv.2,20,004명,72%
나누어 떨어지는 숫자 배열,https://school.programmers.co.kr/learn/courses/30/lessons/12910,Lv.1,44,497명,84%
올바른 괄호,https://school.programmers.co.kr/learn/courses/30/lessons/12909,Lv.2,30,064명,76%
거스름돈,https://school.programmers.co.kr/learn/courses/30/lessons/12907,Lv.3,3,512명,38%
같은 숫자는 싫어,https://school.programmers.co.kr/learn/courses/30/lessons/12906,Lv.1,49,798명,76%
가장 큰 정사각형 찾기,https://school.programmers.co.kr/learn/courses/30/lessons/12905,Lv.2,8,307명,44%
가장 긴 팰린드롬,https://school.programmers.co.kr/learn/courses/30/lessons/12904,Lv.3,6,245명,42%
가운데 글자 가져오기,https://school.programmers.co.kr/learn/courses/30/lessons/12903,Lv.1,54,912명,83%
3 x n 타일링,https://school.programmers.co.kr/learn/courses/30/lessons/12902,Lv.2,2,785명,32%
2016년,https://school.programmers.co.kr/learn/courses/30/lessons/12901,Lv.1,41,272명,63%
2 x n 타일링,https://school.programmers.co.kr/learn/courses/30/lessons/12900,Lv.2,10,809명,53%
124 나라의 숫자,https://school.programmers.co.kr/learn/courses/30/lessons/12899,Lv.2,23,265명,49%
폰켓몬,https://school.programmers.co.kr/learn/courses/30/lessons/1845,Lv.1,34,979명,62%
게임 맵 최단거리,https://school.programmers.co.kr/learn/courses/30/lessons/1844,Lv.2,15,328명,56%
사칙연산,https://school.programmers.co.kr/learn/courses/30/lessons/1843,Lv.4,1,119명,12%
네오의 귀걸이,https://school.programmers.co.kr/learn/courses/30/lessons/1842,Lv.5,21명,0%
IU와 콘의 보드게임,https://school.programmers.co.kr/learn/courses/30/lessons/1841,Lv.5,16명,0%
스마트한 프로도,https://school.programmers.co.kr/learn/courses/30/lessons/1840,Lv.5,16명,0%
튜브의 소개팅,https://school.programmers.co.kr/learn/courses/30/lessons/1839,Lv.4,163명,5%
몸짱 트레이너 라이언의 고민,https://school.programmers.co.kr/learn/courses/30/lessons/1838,Lv.3,178명,6%
GPS,https://school.programmers.co.kr/learn/courses/30/lessons/1837,Lv.3,589명,13%
리틀 프렌즈 사천성,https://school.programmers.co.kr/learn/courses/30/lessons/1836,Lv.3,768명,15%
단체사진 찍기,https://school.programmers.co.kr/learn/courses/30/lessons/1835,Lv.2,4,110명,23%
신비로운 유적 탐험,https://school.programmers.co.kr/learn/courses/30/lessons/1834,Lv.5,57명,1%
캠핑,https://school.programmers.co.kr/learn/courses/30/lessons/1833,Lv.3,471명,16%
보행자 천국,https://school.programmers.co.kr/learn/courses/30/lessons/1832,Lv.3,1,845명,33%
4단 고음,https://school.programmers.co.kr/learn/courses/30/lessons/1831,Lv.4,586명,9%
브라이언의 고민,https://school.programmers.co.kr/learn/courses/30/lessons/1830,Lv.3,376명,3%
카카오프렌즈 컬러링북,https://school.programmers.co.kr/learn/courses/30/lessons/1829,Lv.2,7,842명,29%
