title, link, level, finished_count, acceptance_rate
1,2,3 떨어트리기,https://school.programmers.co.kr/learn/courses/30/lessons/150364,Lv.4,202명,4%
마법의 엘리베이터,https://school.programmers.co.kr/learn/courses/30/lessons/148653,Lv.2,2,666명,42%
유사 칸토어 비트열,https://school.programmers.co.kr/learn/courses/30/lessons/148652,Lv.2,723명,19%
크기가 작은 부분 문자열,https://school.programmers.co.kr/learn/courses/30/lessons/147355,Lv.1,10,121명,69%
테이블 해시 함수,https://school.programmers.co.kr/learn/courses/30/lessons/147354,Lv.2,1,806명,39%
저자 별 카테고리 별 매출액 집계하기,https://school.programmers.co.kr/learn/courses/30/lessons/144856,Lv.4,3,148명,68%
카테고리 별 도서 판매량 집계하기,https://school.programmers.co.kr/learn/courses/30/lessons/144855,Lv.3,4,938명,83%
조건에 맞는 도서와 저자 리스트 출력하기,https://school.programmers.co.kr/learn/courses/30/lessons/144854,Lv.2,7,402명,82%
조건에 맞는 도서 리스트 출력하기,https://school.programmers.co.kr/learn/courses/30/lessons/144853,Lv.1,7,610명,80%
가장 가까운 같은 글자,https://school.programmers.co.kr/learn/courses/30/lessons/142086,Lv.1,9,423명,65%
디펜스 게임,https://school.programmers.co.kr/learn/courses/30/lessons/142085,Lv.2,2,336명,36%
문자열 나누기,https://school.programmers.co.kr/learn/courses/30/lessons/140108,Lv.1,6,894명,51%
점 찍기,https://school.programmers.co.kr/learn/courses/30/lessons/140107,Lv.2,2,560명,43%
쌍둥이 빌딩 숲,https://school.programmers.co.kr/learn/courses/30/lessons/140105,Lv.4,129명,6%
명예의 전당 (1),https://school.programmers.co.kr/learn/courses/30/lessons/138477,Lv.1,7,101명,61%
귤 고르기,https://school.programmers.co.kr/learn/courses/30/lessons/138476,Lv.2,7,047명,64%
억억단을 외우자,https://school.programmers.co.kr/learn/courses/30/lessons/138475,Lv.3,637명,17%
기사단원의 무기,https://school.programmers.co.kr/learn/courses/30/lessons/136798,Lv.1,6,991명,56%
숫자 타자 대회,https://school.programmers.co.kr/learn/courses/30/lessons/136797,Lv.3,452명,13%
과일 장수,https://school.programmers.co.kr/learn/courses/30/lessons/135808,Lv.1,8,227명,60%
숫자 카드 나누기,https://school.programmers.co.kr/learn/courses/30/lessons/135807,Lv.2,2,445명,41%
푸드 파이트 대회,https://school.programmers.co.kr/learn/courses/30/lessons/134240,Lv.1,9,333명,65%
우박수열 정적분,https://school.programmers.co.kr/learn/courses/30/lessons/134239,Lv.2,1,601명,35%
햄버거 만들기,https://school.programmers.co.kr/learn/courses/30/lessons/133502,Lv.1,7,083명,46%
등대,https://school.programmers.co.kr/learn/courses/30/lessons/133500,Lv.3,443명,13%
옹알이 (2),https://school.programmers.co.kr/learn/courses/30/lessons/133499,Lv.1,5,592명,54%
주문량이 많은 아이스크림들 조회하기,https://school.programmers.co.kr/learn/courses/30/lessons/133027,Lv.4,4,795명,68%
성분으로 구분한 아이스크림 총 주문량,https://school.programmers.co.kr/learn/courses/30/lessons/133026,Lv.2,7,382명,82%
과일로 만든 아이스크림 고르기,https://school.programmers.co.kr/learn/courses/30/lessons/133025,Lv.1,10,436명,76%
인기있는 아이스크림,https://school.programmers.co.kr/learn/courses/30/lessons/133024,Lv.1,9,579명,87%
콜라 문제,https://school.programmers.co.kr/learn/courses/30/lessons/132267,Lv.1,9,452명,65%
부대복귀,https://school.programmers.co.kr/learn/courses/30/lessons/132266,Lv.3,1,186명,35%
롤케이크 자르기,https://school.programmers.co.kr/learn/courses/30/lessons/132265,Lv.2,3,399명,51%
취소되지 않은 진료 예약 조회하기,https://school.programmers.co.kr/learn/courses/30/lessons/132204,Lv.4,3,504명,69%
흉부외과 또는 일반외과 의사 목록 출력하기,https://school.programmers.co.kr/learn/courses/30/lessons/132203,Lv.1,9,622명,88%
진료과별 총 예약 횟수 출력하기,https://school.programmers.co.kr/learn/courses/30/lessons/132202,Lv.2,8,121명,86%
12세 이하인 여자 환자 목록 출력하기,https://school.programmers.co.kr/learn/courses/30/lessons/132201,Lv.1,9,873명,88%
삼총사,https://school.programmers.co.kr/learn/courses/30/lessons/131705,Lv.1,11,081명,71%
택배상자,https://school.programmers.co.kr/learn/courses/30/lessons/131704,Lv.2,2,814명,48%
2차원 동전 뒤집기,https://school.programmers.co.kr/learn/courses/30/lessons/131703,Lv.3,395명,19%
고고학 최고의 발견,https://school.programmers.co.kr/learn/courses/30/lessons/131702,Lv.3,210명,7%
연속 부분 수열 합의 개수,https://school.programmers.co.kr/learn/courses/30/lessons/131701,Lv.2,4,447명,62%
가장 비싼 상품 구하기,https://school.programmers.co.kr/learn/courses/30/lessons/131697,Lv.1,11,285명,90%
오프라인/온라인 판매 데이터 통합하기,https://school.programmers.co.kr/learn/courses/30/lessons/131537,Lv.4,6,771명,58%
재구매가 일어난 상품과 회원 리스트 구하기,https://school.programmers.co.kr/learn/courses/30/lessons/131536,Lv.2,9,352명,77%
조건에 맞는 회원수 구하기,https://school.programmers.co.kr/learn/courses/30/lessons/131535,Lv.1,11,192명,89%
상품을 구매한 회원 비율 구하기,https://school.programmers.co.kr/learn/courses/30/lessons/131534,Lv.5,3,274명,39%
상품 별 오프라인 매출 구하기,https://school.programmers.co.kr/learn/courses/30/lessons/131533,Lv.2,8,137명,84%
년, 월, 성별 별 상품 구매 회원 수 구하기,https://school.programmers.co.kr/learn/courses/30/lessons/131532,Lv.4,4,648명,70%
가격대 별 상품 개수 구하기,https://school.programmers.co.kr/learn/courses/30/lessons/131530,Lv.2,6,773명,80%
카테고리 별 상품 개수 구하기,https://school.programmers.co.kr/learn/courses/30/lessons/131529,Lv.2,5,930명,88%
나이 정보가 없는 회원 수 구하기,https://school.programmers.co.kr/learn/courses/30/lessons/131528,Lv.1,9,123명,91%
혼자 놀기의 달인,https://school.programmers.co.kr/learn/courses/30/lessons/131130,Lv.2,2,036명,40%
카운트 다운,https://school.programmers.co.kr/learn/courses/30/lessons/131129,Lv.3,396명,19%
숫자 짝꿍,https://school.programmers.co.kr/learn/courses/30/lessons/131128,Lv.1,6,275명,55%
할인 행사,https://school.programmers.co.kr/learn/courses/30/lessons/131127,Lv.2,4,251명,60%
그룹별 조건에 맞는 식당 목록 출력하기,https://school.programmers.co.kr/learn/courses/30/lessons/131124,Lv.4,4,840명,61%
즐겨찾기가 가장 많은 식당 정보 출력하기,https://school.programmers.co.kr/learn/courses/30/lessons/131123,Lv.3,6,688명,79%
3월에 태어난 여성 회원 목록 출력하기,https://school.programmers.co.kr/learn/courses/30/lessons/131120,Lv.2,11,213명,80%
서울에 위치한 식당 목록 출력하기,https://school.programmers.co.kr/learn/courses/30/lessons/131118,Lv.4,6,486명,71%
5월 식품들의 총매출 조회하기,https://school.programmers.co.kr/learn/courses/30/lessons/131117,Lv.4,5,245명,78%
식품분류별 가장 비싼 식품의 정보 조회하기,https://school.programmers.co.kr/learn/courses/30/lessons/131116,Lv.4,5,304명,78%
가격이 제일 비싼 식품의 정보 출력하기,https://school.programmers.co.kr/learn/courses/30/lessons/131115,Lv.2,10,079명,90%
경기도에 위치한 식품창고 목록 출력하기,https://school.programmers.co.kr/learn/courses/30/lessons/131114,Lv.1,8,891명,90%
조건별로 분류하여 주문상태 출력하기,https://school.programmers.co.kr/learn/courses/30/lessons/131113,Lv.3,4,952명,82%
강원도에 위치한 생산공장 목록 출력하기,https://school.programmers.co.kr/learn/courses/30/lessons/131112,Lv.1,10,629명,91%
옹알이 (1),https://school.programmers.co.kr/learn/courses/30/lessons/120956,Lv.0,12,364명,30%
다음에 올 숫자,https://school.programmers.co.kr/learn/courses/30/lessons/120924,Lv.0,11,066명,58%
